unit,sector,na_item,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
MIO_EUR,S13,B9,AT	11727.4 	6455.4 	6865.5 	3925.6 	4469.3 	15426.8 	13177.5 	7992.4 	7046.2 	4409.3 	9054.6 	3542.6 
MIO_EUR,S13,B9,BE	472.9 	8012.0 	697.0 	211.6 	3926.8 	18796.2 	14499.5 	15578.3 	16316.0 	11820.7 	12253.6 	10345.6 
MIO_EUR,S13,B9,BG	378.9 	242.4 	495.7 	357.2 	591.4 	1513.8 	1190.3 	812.8 	134.2 	173.6 	2331.0 	761.8 
MIO_EUR,S13,B9,CY	513.2 	325.8 	166.9 	566.1 	164.6 	1014.7 	911.6 	1122.1 	1129.7 	890.7 	1543.0 	196.4 
MIO_EUR,S13,B9,CZ	2599.4 	3403.2 	2790.2 	958.1 	3391.7 	8180.0 	6902.3 	4469.1 	6344.3 	1968.0 	3016.5 	1048.7 
MIO_EUR,S13,B9,DE	84939.0 	78619.0 	41200.0 	4706.0 	4531.0 	79590.0 	108904.0 	25863.0 	929.0 	5352.0 	8552.0 	20923.0 
MIO_EUR,S13,B9,DK	4196.6 	10546.0 	11247.5 	11716.9 	7668.6 	6471.5 	6590.4 	5095.7 	8886.0 	2729.6 	3822.2 	4595.7 
MIO_EUR,S13,B9,EA18	241155.1 	218569.7 	132499.6 	59778.6 	207120.8 	579128.5 	587402.5 	410879.8 	356835.7 	293335.9 	260960.1 	214886.2 
MIO_EUR,S13,B9,EA19	241409.0 	218641.8 	132565.1 	60015.4 	208128.8 	581581.1 	589336.6 	413675.7 	357884.7 	294252.8 	261211.2 	214962.1 
MIO_EUR,S13,B9,EE	231.9 	126.5 	393.0 	441.4 	440.4 	308.9 	27.6 	193.1 	46.3 	32.1 	134.0 	27.2 
MIO_EUR,S13,B9,EL	17101.0 	12329.0 	12954.0 	15607.0 	24625.0 	35966.0 	25309.0 	21280.0 	16905.0 	23759.0 	6412.0 	13237.0 
