unit,na_item,sector,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC_GDP,D62PAY,S13,AT	18.8 	18.4 	18.0 	17.5 	17.7 	19.2 	19.3 	18.6 	18.8 	19.1 	19.3 	19.2 
PC_GDP,D62PAY,S13,BE	15.1 	15.0 	14.8 	14.7 	15.3 	16.7 	16.4 	16.4 	16.9 	17.4 	17.3 	17.2 
PC_GDP,D62PAY,S13,BG	10.9 	10.3 	9.9 	9.1 	9.6 	11.3 	11.8 	11.1 	11.1 	11.8 	12.2 	12.0 
PC_GDP,D62PAY,S13,CH	10.5 	10.4 	9.8 	9.4 	9.2 	10.2 	10.1 	10.0 	10.1 	10.2 	10.2 	10.4 
PC_GDP,D62PAY,S13,CY	11.0 	11.6 	11.0 	10.4 	10.9 	11.9 	12.7 	13.2 	13.2 	13.7 	14.0 	14.0 
PC_GDP,D62PAY,S13,CZ	11.8 	11.5 	11.6 	11.9 	11.8 	13.0 	13.1 	13.1 	13.1 	13.3 	12.9 	12.5 
PC_GDP,D62PAY,S13,DE	18.1 	17.9 	17.1 	16.0 	15.8 	17.3 	16.7 	15.7 	15.6 	15.6 	15.5 	15.5 
PC_GDP,D62PAY,S13,DK	16.9 	16.2 	15.2 	14.8 	14.6 	16.6 	17.1 	17.2 	17.3 	17.4 	17.3 	17.1 
PC_GDP,D62PAY,S13,EA18	15.8 	15.7 	15.4 	15.1 	15.4 	17.0 	17.0 	16.8 	17.1 	17.3 	17.3 	17.2 
PC_GDP,D62PAY,S13,EA19	15.8 	15.7 	15.4 	15.1 	15.4 	17.0 	17.0 	16.7 	17.1 	17.3 	17.3 	17.2 
PC_GDP,D62PAY,S13,EE	9.2 	8.9 	8.6 	8.4 	10.4 	13.8 	12.7 	11.2 	10.7 	10.7 	10.8 	11.6 
PC_GDP,D62PAY,S13,EL	12.8 	13.6 	14.0 	14.6 	16.0 	17.5 	17.7 	19.5 	20.3 	19.0 	19.4 	19.9 
PC_GDP,D62PAY,S13,ES	11.6 	11.5 	11.3 	11.5 	12.3 	14.4 	15.1 	15.3 	16.2 	16.6 	16.5 	15.8 
PC_GDP,D62PAY,S13,EU27	15.1 	15.0 	14.6 	14.4 	14.7 	16.4 	16.3 	16.1 	16.4 	16.6 	16.4 	16.2 
